ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCSTRPO23N000003080,장소,문화시설,17677222,SIGT세종영재교육연구소,,,90802,일반서점,1.17E+18,서울특별시,서초구,서초동,,1334-1,1165010800,1165052000,1.17E+11,서운로,79,127.0269751,37.49063677,다사581435,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000002230,장소,문화시설,15675325,THEBOOKS,,,90802,일반서점,4.14E+18,경기도,남양주시,와부읍,덕소리,476-3,4136025021,4136025000,4.14E+11,덕소로97번길,9,127.2132942,37.58615171,다사746541,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000003475,장소,문화시설,18479587,TOP서점,,,90800,N,4.15E+18,경기도,파주시,동패동,,1695-2,4148011300,4148059000,4.15E+11,청석로,272,126.7175265,37.72606431,다사310698,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000005054,장소,문화시설,19499679,VIVALDIBOOKS,롯데마트서산점,,90802,일반서점,4.42E+18,충청남도,서산시,예천동,,508-10,4421010900,4421055000,4.42E+11,충의로,27,126.4383091,36.7737666,다바052644,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000000755,장소,문화시설,14181685,YCP북클럽,,,90802,일반서점,4.51E+18,전라북도,군산시,중앙로2가,,111-4,4513012100,4513060500,4.51E+11,중앙로,110,126.7170169,35.98336383,다마294765,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000000978,장소,문화시설,14199735,YD서적,,,90802,일반서점,1.16E+18,서울특별시,관악구,신림동,,1565-7,1162010200,1162076500,,,,126.9163656,37.47800787,다사483422,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000003754,장소,문화시설,19497745,YES24중고서점,,,90802,일반서점,1.16E+18,서울특별시,영등포구,대림동,,783-11,1156013300,1156072000,1.16E+11,도신로4길,19,126.8963133,37.50187982,다사466449,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000002615,장소,문화시설,16666803,가가77페이지,,,90802,일반서점,1.11E+18,서울특별시,중구,을지로6가,,17-48,1114014800,1114059000,1.11E+11,청계천로,274,127.0082428,37.56943492,다사565523,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000002270,장소,문화시설,15727911,가가북,,,90802,일반서점,4.15E+18,경기도,파주시,금촌동,,395-2,4148010100,4148053000,4.15E+11,새말9길,38,126.7736527,37.7688745,다사360746,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000004474,장소,문화시설,19498956,가가책방,,,90802,일반서점,1.17E+18,서울특별시,강동구,천호동,,163-34,1174010900,1174062000,1.17E+11,진황도로31길,6,127.1336086,37.53789549,다사676487,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000004120,장소,문화시설,19498233,가고파북샵,,,90802,일반서점,2.92E+18,광주광역시,북구,운암동,,1045-4,2917010900,2917060100,2.92E+11,북문대로,127,126.8738926,35.18040683,다라429874,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000002805,장소,문화시설,17156786,가고파서적,,,90802,일반서점,4.11E+18,경기도,수원시 장안구,정자동,,74-44,4111113000,4111157200,4.11E+11,장안로89번길,43,127.000028,37.29108142,다사556214,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000003926,장소,문화시설,19498010,가까운책방,,,90802,일반서점,4.78E+18,경상북도,청도군,화양읍,범곡리,153-1,4782025027,4782025000,4.78E+11,청화3길,02월 01일,128.7347024,35.64832694,마마117398,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000002131,장소,문화시설,15558307,가나기독교백화점,,,90802,일반서점,3.11E+18,울산광역시,남구,신정동,,1218-13,3114010400,3114052000,3.11E+11,봉월로,2,129.3078978,35.53289812,마마639278,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000002257,장소,문화시설,15701121,가나서점,,,90802,일반서점,3.12E+18,울산광역시,북구,연암동,,381-7,3120012200,3120056000,3.12E+11,상방로,177,129.3640075,35.58196996,마마688333,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000000413,장소,문화시설,13782854,가나안광고서점,,,90802,일반서점,4.69E+18,전라남도,함평군,함평읍,기각리,863-2,4686025022,4686025000,4.69E+11,중앙길,159,126.5189804,35.0649203,다라105748,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000001703,장소,문화시설,15020412,가나안서점,,,90802,일반서점,2.82E+18,인천광역시,계양구,작전동,,444-2,2824510300,2824562200,2.82E+11,효서로,226,126.7210393,37.52766836,다사311478,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000002178,장소,문화시설,15611312,가덕서점,,,90802,일반서점,4.12E+18,경기도,의정부시,용현동,,526-2,4115010500,4115057300,4.12E+11,충의로,139,127.084432,37.74395688,다사633716,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000001145,장소,문화시설,14389341,가라사대서점,,,90802,일반서점,4.68E+18,전라남도,해남군,해남읍,해리,599-16,4682025021,4682025000,4.68E+11,중앙1로,100,126.6017892,34.57149236,다라176200,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000002985,장소,문화시설,17523790,가람북,,,90802,일반서점,4.71E+18,경상북도,포항시 남구,이동,,644-5,4711111700,4711159000,4.71E+11,대이로,191,129.3382026,36.03187252,마마656832,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000000640,장소,문화시설,14171431,가람서점,,,90802,일반서점,2.82E+18,인천광역시,계양구,작전동,,853-31,2824510300,2824562200,2.82E+11,계양대로,101,126.7222506,37.53289447,다사312484,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000002277,장소,문화시설,15739391,가망불망서점,,,90802,일반서점,4.12E+18,경기도,평택시,합정동,,741-8,4122011700,4122059000,4.12E+11,중앙로,110,127.0951755,36.99297526,다바639883,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000004136,장소,문화시설,19498249,가본의학서적,,,90802,일반서점,2.91E+18,광주광역시,동구,동명동,,200-88,2911010800,2911054500,2.91E+11,동계로,1,126.9239474,35.15202181,다라475842,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000004320,장소,문화시설,19498781,가볼책방,동서울점,,90802,일반서점,1.12E+18,서울특별시,광진구,구의동,,546-1,1121510300,1121587000,1.12E+11,강변역로,50,127.0940949,37.53440954,다사641484,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000000119,장소,문화시설,115775,가야서점,,,90802,일반서점,4.37E+18,충청북도,영동군,영동읍,계산리,682-6,4374025021,4374025000,4.37E+11,계산로,02월 16일,127.7789591,36.17435239,라마250975,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000003812,장소,문화시설,19497814,가오서점,,,90802,일반서점,4.14E+18,경기도,시흥시,거모동,,1728-4,4139012700,4139058100,4.14E+11,군자로,472-1,126.7829086,37.34741268,다사364278,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000001952,장소,문화시설,15307389,가온서점,,,90802,일반서점,5.01E+18,제주특별자치도,제주시,노형동,,906-5,5011012200,5011066000,5.01E+11,도령로,54,126.4845993,33.48869047,다다056001,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000001268,장소,문화시설,14513608,가을문고,,,90802,일반서점,4.72E+18,경상북도,구미시,옥계동,,555-4,4719012800,4719069000,4.72E+11,흥안로,14,128.4171465,36.14714767,라마825948,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
